atomic	element	weight	A	logA	logA12
1	H	1.008	1.00E+00	0.00	12.00
2	He	4.003	8.51E-02	-1.07	10.93
3	Li	6.941	1.26E-11	-10.90	1.10
4	Be	9.012	2.51E-11	-10.60	1.40
5	B	10.811	3.55E-10	-9.45	2.55
6	C	12.011	3.31E-04	-3.48	8.52
7	N	14.007	8.32E-05	-4.08	7.92
8	O	15.994	4.57E-04	-3.34	8.66
9	F	18.998	3.63E-08	-7.44	4.56
10	Ne	20.179	6.92E-05	-4.16	7.84
11	Na	22.99	2.14E-06	-5.67	6.33
12	Mg	24.305	3.80E-05	-4.42	7.58
13	Al	26.982	2.95E-06	-5.53	6.47
14	Si	28.086	3.55E-05	-4.45	7.55
15	P	30.974	2.82E-07	-6.55	5.45
16	S	32.06	2.14E-05	-4.67	7.33
17	Cl	35.45	3.16E-07	-6.50	5.50
18	Ar	39.95	1.51E-06	-5.82	6.18
19	K	39.1	1.32E-07	-6.88	5.12
20	Ca	40.08	2.29E-06	-5.64	6.36
21	Sc	44.96	1.48E-09	-8.83	3.17
22	Ti	47.9	1.05E-07	-6.98	5.02
23	V	50.941	1.00E-08	-8.00	4.00
24	Cr	51.996	4.68E-07	-6.33	5.67
25	Mn	54.938	2.45E-07	-6.61	5.39
26	Fe	55.847	2.75E-05	-4.56	7.44
27	Co	58.933	8.32E-08	-7.08	4.92
28	Ni	58.71	1.78E-06	-5.75	6.25
29	Cu	63.646	1.62E-08	-7.79	4.21
30	Zn	65.37	3.98E-08	-7.40	4.60
31	Ga	69.72	7.59E-10	-9.12	2.88
32	Ge	72.59	2.57E-09	-8.59	3.41
33	As	74.922			
34	Se	78.96			
35	Br	79.904			
36	Kr	83.8			
37	Rb	85.468	3.98E-10	-9.40	2.60
38	Sr	87.62	9.33E-10	-9.03	2.97
39	Y	88.906	1.74E-10	-9.76	2.24
40	Zr	91.22	3.98E-10	-9.40	2.60
41	Nb	92.906	2.63E-11	-10.58	1.42
42	Mo	95.94	8.32E-11	-10.08	1.92
43	Tc	98.906			
44	Ru	101.07	6.92E-11	-10.16	1.84
45	Rh	102.905	1.32E-11	-10.88	1.12
46	Pd	106.4	4.90E-11	-10.31	1.69
47	Ag	107.868	8.71E-12	-11.06	0.94
48	Cd	112.4	5.89E-11	-10.23	1.77
49	In	114.82	4.57E-11	-10.34	1.66
50	Sn	118.69	1.00E-10	-10.00	2.00
51	Sb	121.75	1.00E-11	-11.00	1.00
52	Te	127.6			
53	I	126.904			
54	Xe	131.3			
55	Cs	132.905	6.31E-11	-10.20	1.80
56	Ba	137.34	1.35E-10	-9.87	2.13
57	La	138.906	1.35E-11	-10.87	1.13
58	Ce	140.12	3.80E-11	-10.42	1.58
59	Pr	140.908	5.13E-12	-11.29	0.71
60	Nd	144.24	3.16E-11	-10.50	1.50
61	Pm	146			
62	Sm	150.4	1.02E-11	-10.99	1.01
63	Eu	151.96	3.31E-12	-11.48	0.52
64	Gd	157.25	1.32E-11	-10.88	1.12
65	Tb	158.925	1.00E-12	-12.00	0.00
66	Dy	162.5	1.38E-11	-10.86	1.14
67	Ho	164.93	3.39E-12	-11.47	0.53
68	Er	167.26	8.51E-12	-11.07	0.93
69	Tm	168.934	1.00E-12	-12.00	0.00
70	Yb	170.04	1.20E-11	-10.92	1.08
71	Lu	174.97	1.15E-12	-11.94	0.06
72	Hf	178.49	7.59E-12	-11.12	0.88
73	Ta	180.948			
74	W	183.85	1.29E-11	-10.89	1.11
75	Re	186.2			
76	Os	190.2	2.82E-11	-10.55	1.45
77	Ir	192.2	2.24E-11	-10.65	1.35
78	Pt	195.09	6.31E-11	-10.20	1.80
79	Au	196.967	1.02E-11	-10.99	1.01
80	Hg	200.59	1.00E-09	-9.00	3.00
81	Tl	204.37	7.94E-12	-11.10	0.90
82	Pb	207.19	8.91E-11	-10.05	1.95
83	Bi	208.981	6.31E-12	-11.20	0.80
84	Po	210			
85	At	210			
86	Rn	222			
87	Fr	223			
88	Ra	226.025			
89	Ac	227			
90	Th	232.038	1.32E-12	-11.88	0.12
91	Pa	230.04			
92	U	238.029	3.39E-13	-12.47	-0.47
