#
#TABLE 12
#VALIIIC (Vernazza, Avrett, and Loeser 1981 ApJS 45,635)
#
# h     m     tau_500     T     V     n_H     n_e     Ptotal  Pgas/Ptotal  rho
#(km) (g cm )            (K)  (km/s) (cm^-3) (cm^-3) (dyn cm^-2)          (g cm^-3)
2543 5.257d-06  0.       447000 11.28 1.005d+09 1.205d+09 1.440d-01 0.9896 2.349d-15
2298 5.365d-06 3.712d-08 141000 9.87  3.205d+09 3.839d+09 1.470d-01 0.9752 7.494d-15
2290 5.373d-06 3.969d-08 89100  9.82  5.041d+09 5.961d+09 1.472d-01 0.9614 1.179d-14
2280 5.389d-06 4.491d-08 50000  9.76  9.038d+09 9.993d+09 1.477d-01 0.9318 2.113d-14
2274 5.404d-06 4.952d-08 37000  9.73  1.201d+10 1.318d+10 1.481d-01 0.9102 2.808d-14
2271 5.413d-06 5.234d-08 32000  9.71  1.378d+10 1.498d+10 1.483d-01 0.8976 3.222d-14
2267 5.427d-06 5.657d-08 28000  9.70  1.567d+10 1.677d+10 1.487d-01 0.8840 3.665d-14
2263 5.443d-06 6.124d-08 25500  9.68  1.718d+10 1.812d+10 1.491d-01 0.8738 4.017d-14
2255 5.476d-06 7.110d-08 24500  9.64  1.797d+10 1.881d+10 1.500d-01 0.8698 4.203d-14
2230 5.583d-06 1.030d-07 24200  9.49  1.862d+10 1.943d+10 1.530d-01 0.8718 4.355d-14
2200 5.716d-06 1.426d-07 24000  9.33  1.932d+10 2.009d+10 1.566d-01 0.8645 4.517d-14
2160 5.902d-06 1.977d-07 23500  9.08  2.051d+10 2.120d+10 1.617d-01 0.8778 4.795d-14
2129 6.055d-06 2.427d-07 23000  8.87  2.163d+10 2.219d+10 1.659d-01 0.8801 5.058d-14
2120 6.101d-06 2.562d-07 22500  8.81  2.231d+10 2.276d+10 1.672d-01 0.8789 5.216d-14
2115 6.128d-06 2.640d-07 21000  8.78  2.403d+10 2.402d+10 1.679d-01 0.8710 5.619d-14
2113 6.140d-06 2.674d-07 18500  8.77  2.732d+10 2.620d+10 1.682d-01 0.8539 6.390d-14
2109 6.172d-06 2.754d-07 12300  8.74  4.092d+10 3.306d+10 1.691d-01 0.7839 9.569d-14
2107 6.193d-06 2.801d-07 10700  8.72  4.673d+10 3.535d+10 1.697d-01 0.7552 1.093d-13
2104 6.228d-06 2.877d-07 9500   8.71  5.239d+10 3.705d+10 1.706d-01 0.7277 1.225d-13
2090 6.416d-06 3.243d-07 8440   8.60  6.127d+10 3.799d+10 1.758d-01 0.6986 1.433d-13
2080 6.564d-06 3.507d-07 8180   8.55  6.541d+10 3.780d+10 1.798d-01 0.6891 1.530d-13
2070 6.722d-06 3.770d-07 7940   8.50  6.960d+10 3.783d+10 1.842d-01 0.6808 1.628d-13
2050 7.066d-06 4.299d-07 7660   8.42  7.705d+10 3.792d+10 1.936d-01 0.6701 1.802d-13
2016 7.732d-06 5.203d-07 7360   8.22  9.075d+10 3.811d+10 2.118d-01 0.6616 2.122d-13
1990 8.322d-06 5.903d-07 7160   8.01  1.033d+11 3.858d+10 2.280d-01 0.6600 2.417d-13
1925 1.015d-05 7.717d-07 6940   7.63  1.380d+11 4.028d+10 2.780d-01 0.6620 3.227d-13
1785 1.647d-05 1.212d-06 6630   6.92  2.601d+11 4.771d+10 4.511d-01 0.6772 6.082d-13
1605 3.407d-05 1.958d-06 6440   5.85  6.386d+11 6.005d+10 9.334d-01 0.7262 1.493d-12
1515 5.144d-05 2.420d-06 6370   5.26  1.048d+12 6.456d+10 1.409d+00 0.7595 2.450d-12
1380 1.012d-04 3.286d-06 6280   4.51  2.273d+12 7.600d+10 2.774d+00 0.8051 5.315d-12
1280 1.747d-04 4.084d-06 6220   3.92  4.200d+12 7.486d+10 4.786d+00 0.8423 9.822d-12
1180 3.112d-04 5.075d-06 6150   3.48  7.865d+12 8.108d+10 8.527d+00 0.8694 1.839d-11
1065 6.299d-04 6.861d-06 6040   2.73  1.711d+13 9.349d+10 1.726d+01 0.9136 4.000d-11
980  1.098d-03 9.148d-06 5925   2.14  3.147d+13 1.041d+11 3.008d+01 0.9440 7.359d-11
905  1.840d-03 1.239d-05 5755   1.70  5.546d+13 1.049d+11 5.043d+01 0.9628 1.297d-10
855  2.632d-03 1.553d-05 5650   1.53  8.135d+13 1.064d+11 7.210d+01 0.9691 1.902d-10
755  5.577d-03 2.537d-05 5280   1.23  1.864d+14 8.838d+10 1.528d+02 0.9784 4.358d-10
705  8.333d-03 3.288d-05 5030   1.09  2.935d+14 7.664d+10 2.283d+02 0.9821 6.864d-10
655  1.276d-02 4.452d-05 4730   0.96  4.794d+14 8.085d+10 3.495d+02 0.9852 1.121d-09
605  2.013d-02 7.022d-05 4420   0.83  8.119d+14 1.112d+11 5.516d+02 0.9881 1.899d-09
555  3.270d-02 1.456d-04 4230   0.70  1.382d+15 1.733d+11 8.958d+02 0.9912 3.232d-09
515  4.878d-02 3.014d-04 4170   0.60  2.096d+15 2.495d+11 1.336d+03 0.9934 4.902d-09
450  9.378d-02 1.017d-03 4220   0.53  3.989d+15 4.516d+11 2.569d+03 0.9949 9.327d-09
350  2.481d-01 5.626d-03 4465   0.52  9.979d+15 1.110d+12 6.798d+03 0.9954 2.334d-08
250  6.172d-01 2.670d-02 4780   0.63  2.315d+16 2.674d+12 1.691d+04 0.9936 5.413d-08
150  1.433d+00 1.117d-01 5180   1.00  4.917d+16 6.476d+12 3.926d+04 0.9854 1.150d-07
100  2.118d+00 2.201d-01 5455   1.20  6.866d+16 1.066d+13 5.804d+04 0.9801 1.606d-07
50   3.056d+00 4.395d-01 5840   1.40  9.203d+16 2.122d+13 8.274d+04 0.9748 2.152d-07
0    4.279d+00 9.953d-01 6420   1.60  1.166d+17 6.433d+13 1.172d+05 0.9702 2.727d-07
-25  4.991d+00 1.683d+00 6910   1.70  1.261d+17 1.547d+14 1.368d+05 0.9688 2.949d-07
-50  5.747d+00 3.338d+00 7610   1.76  1.317d+17 4.645d+14 1.575d+05 0.9697 3.080d-07
-75  6.534d+00 7.445d+00 8320   1.80  1.365d+17 1.204d+15 1.790d+05 0.9711 3.192d-07




